Age,Likely Ethnicity,Precinct,Borrud - SD24: Responses,Total People
35 to 49,White,Rochester W1 P6,Strong Aleta,1
34 to 49,White,Rochester W1 P5,Lean Aleta,1
35 to 49,White,Rochester W1 P6,Lean Aleta,1
34 to 49,White,Rochester W1 P5,Undecided,1
35 to 49,White,Rochester W1 P6,Undecided,1
29 to 49,White,Rochester W1 P2,Strong Aleta,1
30 to 49,White,Rochester W1 P3,Strong Aleta,1
31 to 49,White,Rochester W1 P4,Strong Aleta,1
32 to 49,White,Rochester W1 P5,Strong Aleta,1
33 to 49,White,Rochester W1 P6,Strong Aleta,1
34 to 49,White,Rochester W1 P7,Strong Aleta,1
35 to 49,White,Rochester W1 P8,Strong Aleta,1
34 to 49,White,Rochester W1 P7,Lean Aleta,1
35 to 49,White,Rochester W1 P8,Lean Aleta,1
35 to 49,White,Rochester W1 P8,Undecided,1
35 to 49,White,Rochester W1 P9,Strong Aleta,1
35 to 49,White,Rochester W1 P9,Lean Aleta,1
34 to 49,White,Rochester W1 P8,Undecided,1
35 to 49,White,Rochester W1 P9,Undecided,1
35 to 49,White,Rochester W1 P9,Lean Nelson,1
35 to 49,White,Rochester W2 P1,Strong Aleta,1
34 to 49,White,Rochester W2 P9,Strong Aleta,1
35 to 49,White,Rochester W2 P10,Strong Aleta,1
34 to 49,White,Rochester W2 P9,Lean Aleta,1
35 to 49,White,Rochester W2 P10,Lean Aleta,1
35 to 49,White,Rochester W2 P10,Undecided,1
35 to 49,White,Rochester W2 P2,Lean Aleta,1
33 to 49,White,Rochester W2 P1,Strong Aleta,1
34 to 49,White,Rochester W2 P2,Strong Aleta,1
35 to 49,White,Rochester W2 P3,Strong Aleta,1
35 to 49,White,Rochester W2 P3,Lean Aleta,1
31 to 49,White,Rochester W2 P1,Undecided,1
32 to 49,White,Rochester W2 P0,Undecided,1
33 to 49,White,Rochester W2 P1,Undecided,1
34 to 49,White,Rochester W2 P2,Undecided,1
35 to 49,White,Rochester W2 P3,Undecided,1
35 to 49,White,Rochester W2 P3,Strong Nelson,1
35 to 49,White,Rochester W2 P4,Strong Aleta,1
34 to 49,White,Rochester W2 P3,Lean Aleta,1
35 to 49,White,Rochester W2 P4,Lean Aleta,1
34 to 49,White,Rochester W2 P3,Undecided,1
35 to 49,White,Rochester W2 P4,Undecided,1
35 to 49,White,Rochester W2 P5,Lean Aleta,1
33 to 49,White,Rochester W2 P3,Undecided,1
34 to 49,White,Rochester W2 P4,Undecided,1
35 to 49,White,Rochester W2 P5,Undecided,1
35 to 49,White,Rochester W2 P6,Strong Aleta,1
35 to 49,White,Rochester W2 P6,Lean Aleta,1
35 to 49,White,Rochester W2 P6,Undecided,1
35 to 49,White,Rochester W2 P6,Strong Nelson,1
31 to 49,White,Rochester W2 P5,Strong Aleta,1
32 to 49,White,Rochester W2 P6,Strong Aleta,1
33 to 49,White,Rochester W2 P7,Strong Aleta,1
34 to 49,White,Rochester W2 P8,Strong Aleta,1
35 to 49,White,Rochester W2 P9,Strong Aleta,1
34 to 49,White,Rochester W2 P8,Lean Aleta,1
35 to 49,White,Rochester W2 P9,Lean Aleta,1
27 to 49,White,Rochester W2 P1,Undecided,1
28 to 49,White,Rochester W2 P2,Undecided,1
